Exp. no,l1,l2,l3,speed,feed,depth,rforce,scenergy,mrrate
1,1,1,1,45,0.11,0.15,310.63,1459.39,477.32
2,,,,45,0.11,0.15,315.63,1469.39,487.32
3,1,2,2,45,0.22,0.3,332.62,384.75,1979.29
4,,,,45,0.22,0.3,342,397,2000
5,1,3,3,45,0.33,0.45,352.28,182.27,4295.89
6,,,,45,0.33,0.45,372.28,192.27,4395.89
7,1,4,4,45,0.44,0.6,381.36,112.07,7637.14
8,,,,45,0.44,0.6,391.36,122.07,7657.14
9,2,1,2,70,0.11,0.3,334.31,724.04,1485
10,,,,70,0.11,0.3,354.31,734.04,1495
11,2,2,1,70,0.22,0.15,341.3,786.26,1487
12,,,,70,0.22,0.15,361.3,796.26,1498
13,2,3,4,70,0.33,0.6,375.56,146.13,8910
14,,,,70,0.33,0.6,395.56,166.13,8960
15,2,4,3,70,0.44,0.45,390.37,150.37,8910
16,,,,70,0.44,0.45,398.37,160.37,8950
17,3,1,3,95,0.11,0.45,384.72,609.02,3023.04
18,,,,95,0.11,0.45,394.72,609.02,3023.04
19,3,2,4,95,0.22,0.6,360,212.12,8061.43
20,,,,95,0.22,0.6,380,232.12,8161.43
21,3,3,1,95,0.33,0.15,388.37,586.4,3023.04
22,,,,95,0.33,0.15,390.37,576.4,3023.04
23,3,4,2,95,0.44,0.3,395.48,226.97,8061.43
24,,,,95,0.44,0.3,398.48,236.97,8161.43
25,4,1,4,120,0.11,0.6,365.8,414.34,5091.43
26,,,,120,0.11,0.6,375.8,424.34,5191.43
27,4,2,3,120,0.22,0.45,380.2,287.54,7647.14
28,,,,120,0.22,0.45,390.2,297.54,7667.14
29,4,3,2,120,0.33,0.3,391.65,298.86,7637.14
30,,,,120,0.33,0.3,401,318.86,7837.14
31,4,4,1,120,0.44,0.15,411.21,456.77,5091.43
